platePosition,condition
A_1,H3-Hi
A_2,F1-Lo
A_3,G1-Lo
A_4,HeLaDMSO
A_5,B1-Hi
A_6,F3-Hi
A_7,controlDMSO
A_8,controlPBS
A_9,D4-Lo
A_10,B1-Lo
A_11,controlPBS
A_12,H3-Hi
B_1,C3-Lo
B_2,D1-Hi
B_3,D1-Hi
B_4,HeLaDMSO
B_5,F3-Hi
B_6,H1-Lo
B_7,controlPBS
B_8,F3-Lo
B_9,D1-Lo
B_10,G1-Lo
B_11,C3-Hi
B_12,D4-Hi
C_1,G1-Hi
C_2,A2-Lo
C_3,controlPBS
C_4,HeLaPBS
C_5,controlDMSO
C_6,G1-Lo
C_7,controlDMSO
C_8,H3-Lo
C_9,F3-Lo
C_10,F1-Hi
C_11,C1-Lo
C_12,G1-Hi
D_1,C3-Lo
D_2,controlDMSO
D_3,B1-Hi
D_4,HeLaPBS
D_5,H1-Lo
D_6,D4-Hi
D_7,C1-Hi
D_8,C3-Hi
D_9,D4-Lo
D_10,C3-Lo
D_11,controlPBS
D_12,C1-Lo
E_1,H3-Lo
E_2,C3-Hi
E_3,A1-Hi
E_4,controlDMSO
E_5,C1-Hi
E_6,F3-Hi
E_7,controlDMSO
E_8,HeLaDMSO
E_9,F1-Hi
E_10,controlDMSO
E_11,controlDMSO
E_12,D4-Hi
F_1,A2-Hi
F_2,C1-Lo
F_3,A1-Hi
F_4,B1-Lo
F_5,B1-Lo
F_6,D4-Lo
F_7,H3-Hi
F_8,HeLaDMSO
F_9,A2-Hi
F_10,A2-Lo
F_11,D1-Hi
F_12,controlPBS
G_1,A1-Lo
G_2,D1-Lo
G_3,B1-Hi
G_4,A1-Hi
G_5,H1-Lo
G_6,H3-Lo
G_7,H1-Hi
G_8,HeLaPBS
G_9,F1-Lo
G_10,H1-Hi
G_11,H1-Hi
G_12,D1-Lo
H_1,A2-Hi
H_2,C1-Hi
H_3,G1-Hi
H_4,F1-Lo
H_5,A1-Lo
H_6,F1-Hi
H_7,F3-Lo
H_8,HeLaPBS
H_9,A1-Lo
H_10,controlPBS
H_11,A2-Lo
H_12,controlPBS
