platePosition,condition
A_1,d18-100x
A_2,d13-100x
A_3,d15-1x
A_4,d17-100x
A_5,d24-20x
A_6,d7-100x
A_7,d19-1x
A_8,d7-20x
A_9,d5-100x
A_10,d13-1x
A_11,d24-20x
A_12,d18-100x
B_1,d23-20x
B_2,d14-1x
B_3,d15-100x
B_4,d15-20x
B_5,d21-100x
B_6,d21-1x
B_7,d23-100x
B_8,d21-1x
B_9,d18-1x
B_10,DMSOonly-control
B_11,d14-100x
B_12,d14-20x
C_1,d17-1x
C_2,DMSOonly-control
C_3,DMSOonly-control
C_4,d7-20x
C_5,d15-100x
C_6,d16-100x
C_7,d13-20x
C_8,d21-100x
C_9,DMSOHeLa-HeLa
C_10,d13-1x
C_11,d16-100x
C_12,d16-1x
D_1,d23-20x
D_2,d19-20x
D_3,d16-20x
D_4,d19-1x
D_5,d17-20x
D_6,d5-1x
D_7,d2-20x
D_8,d20-20x
D_9,d2-100x
D_10,d24-1x
D_11,d20-1x
D_12,d18-1x
E_1,DMSOHeLa-HeLa
E_2,d24-100x
E_3,d5-100x
E_4,DMSOonly-control
E_5,d7-100x
E_6,d5-20x
E_7,d2-1x
E_8,DMSOonly-control
E_9,d23-1x
E_10,DMSOHeLa-HeLa
E_11,d13-100x
E_12,d18-20x
F_1,d16-1x
F_2,DMSOonly-control
F_3,d19-100x
F_4,d14-1x
F_5,d7-1x
F_6,d2-100x
F_7,d16-20x
F_8,DMSOonly-control
F_9,d21-20x
F_10,d5-20x
F_11,DMSOHeLa-HeLa
F_12,d23-100x
G_1,d2-20x
G_2,d7-1x
G_3,DMSOonly-control
G_4,d15-1x
G_5,d24-1x
G_6,d20-20x
G_7,d15-20x
G_8,d23-1x
G_9,d19-100x
G_10,d19-20x
G_11,d14-100x
G_12,d20-1x
H_1,d17-20x
H_2,d13-20x
H_3,d14-20x
H_4,DMSOonly-control
H_5,d5-1x
H_6,d17-1x
H_7,d24-100x
H_8,DMSOonly-control
H_9,d17-100x
H_10,d18-20x
H_11,d21-20x
H_12,d2-1x
