rowLet,colNum,poolID,tagID
A,1,test3-pool1,Tag01
B,1,test3-pool1,Tag02
C,1,test3-pool1,Tag03
D,1,test3-pool1,Tag04
E,1,test3-pool1,Tag05
F,1,test3-pool1,Tag06
G,1,test3-pool1,Tag07
H,1,test3-pool1,Tag08
A,2,test3-pool1,Tag09
B,2,test3-pool1,Tag10
C,2,test3-pool1,Tag11
D,2,test3-pool1,Tag12
E,2,test3-pool1,Tag13
F,2,test3-pool1,Tag14
G,2,test3-pool1,Tag15
H,2,test3-pool1,Tag16
A,3,test3-pool1,Tag17
B,3,test3-pool1,Tag18
C,3,test3-pool1,Tag19
D,3,test3-pool1,Tag20
E,3,test3-pool1,Tag21
F,3,test3-pool1,Tag22
G,3,test3-pool1,Tag23
H,3,test3-pool1,Tag24
A,4,test3-pool1,Tag25
B,4,test3-pool1,Tag26
C,4,test3-pool1,Tag27
D,4,test3-pool1,Tag28
E,4,test3-pool1,Tag29
F,4,test3-pool1,Tag30
G,4,test3-pool1,Tag31
H,4,test3-pool1,Tag32
A,5,test3-pool2,Tag01
B,5,test3-pool2,Tag02
C,5,test3-pool2,Tag03
D,5,test3-pool2,Tag04
E,5,test3-pool2,Tag05
F,5,test3-pool2,Tag06
G,5,test3-pool2,Tag07
H,5,test3-pool2,Tag08
A,6,test3-pool2,Tag09
B,6,test3-pool2,Tag10
C,6,test3-pool2,Tag11
D,6,test3-pool2,Tag12
E,6,test3-pool2,Tag13
F,6,test3-pool2,Tag14
G,6,test3-pool2,Tag15
H,6,test3-pool2,Tag16
A,7,test3-pool2,Tag17
B,7,test3-pool2,Tag18
C,7,test3-pool2,Tag19
D,7,test3-pool2,Tag20
E,7,test3-pool2,Tag21
F,7,test3-pool2,Tag22
G,7,test3-pool2,Tag23
H,7,test3-pool2,Tag24
A,8,test3-pool2,Tag25
B,8,test3-pool2,Tag26
C,8,test3-pool2,Tag27
D,8,test3-pool2,Tag28
E,8,test3-pool2,Tag29
F,8,test3-pool2,Tag30
G,8,test3-pool2,Tag31
H,8,test3-pool2,Tag32
A,9,test3-pool3,Tag01
B,9,test3-pool3,Tag02
C,9,test3-pool3,Tag03
D,9,test3-pool3,Tag04
E,9,test3-pool3,Tag05
F,9,test3-pool3,Tag06
G,9,test3-pool3,Tag07
H,9,test3-pool3,Tag08
A,10,test3-pool3,Tag09
B,10,test3-pool3,Tag10
C,10,test3-pool3,Tag11
D,10,test3-pool3,Tag12
E,10,test3-pool3,Tag13
F,10,test3-pool3,Tag14
G,10,test3-pool3,Tag15
H,10,test3-pool3,Tag16
A,11,test3-pool3,Tag17
B,11,test3-pool3,Tag18
C,11,test3-pool3,Tag19
D,11,test3-pool3,Tag20
E,11,test3-pool3,Tag21
F,11,test3-pool3,Tag22
G,11,test3-pool3,Tag23
H,11,test3-pool3,Tag24
A,12,test3-pool3,Tag25
B,12,test3-pool3,Tag26
C,12,test3-pool3,Tag27
D,12,test3-pool3,Tag28
E,12,test3-pool3,Tag29
F,12,test3-pool3,Tag30
G,12,test3-pool3,Tag31
H,12,test3-pool3,Tag32
