Catalog.No.	Product.Name	Class	Targets	Median IC50 (nM) for dilutions	Info from SelleckChem	drugIDforPlating	deliveredPlateID	deliveredPlatePosition	test4StocksPlatePosition	meanTargetTPM	maxTargetTPM	nDE
S1028	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	10	"Lapatinib Ditosylate (GW572016, GW2016) is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM, respectively."	d13	Z204925	B_1	A_1			
S1018	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	"Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2. Phase 4."	d14	Z204925	A_1	B_1			
S1119	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	"Cabozantinib (XL184, BMS-907351) is a potent VEGFR2 inhibitor with IC50 of 0.035 nM and also inhibits c-Met, Ret, Kit, Flt-1/3/4, Tie2, and AXL with IC50 of 1.3 nM, 4 nM, 4.6 nM, 12 nM/11.3 nM/6 nM, 14.3 nM and 7 nM, respectively."	d15	Z204925	G_1	C_1			
S1075	SB216763	kinase	GSK-3	34.3	SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3Ì_å± and equally effective at inhibiting human GSK-3Ì_å_.	d16	Z204925	D_1	D_1			
S2703	GSK1838705A	kinase	"IGF-1R,ALK"	1	"GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM, modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM, respectively, and little activity to other protein kinases."	d17	Z204925	B_2	E_1			
S1143	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	100	"AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 Ì_å_M, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src."	d18	Z204925	H_1	F_1			
S7399	FLI-06	GPCR	Notch	2300	FLI-06 is a novel inhibitor of Notch signaling with EC50 of 2.3 Ì_å_M.	d19	Z204925	D_2	G_1			
S1630	Allopurinol	GPCR	OX Receptor	7800	Allopurinol (Zyloprim) is a xanthine oxidase inhibitor with an IC50 of 7.82Ìâå±0.12 Ì_å_M.	d20	Z204925	A_2	H_1			
S1076	SB203580	kinase	p38 MAPK	400	"SB203580 is a p38 MAPK inhibitor with IC50 of 0.3-0.5 Ì_å_M, 10-fold less sensitive to SAPK3(106T) and SAPK4(106T) and blocks PKB phosphorylation with IC50 of 3-5 Ì_å_M."	d21	Z204925	E_1	A_2			
S1038	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	"PI-103 is a multi-targeted PI3K inhibitor for p110Ì_å±/Ì_å_/Ì_å«/Ì_å_ with IC50 of 2 nM/3 nM/3 nM/15 nM, less potent to mTOR/DNA-PK with IC50 of 30 nM/23 nM."	d23	Z204925	C_1	B_2			
S1111	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	"Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM. Less potent against Ron, Flt-1/3/4, Kit, PDGFRÌ_å±/Ì_å_ and Tie-2, and little activity to FGFR1 and EGFR. Phase 2."	d24	Z204925	F_1	C_2			
S1021	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	1	"Dasatinib is a novel, potent and multi-targeted inhibitor that targets Abl, Src and c-Kit, with IC50 of Ìøå_Ò1 nM, 0.8 nM and 79 nM, respectively."	d2	Z188653	B_1	D_2			
S1068	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	24	"PF-2341066 (Crizotinib) is a potent inhibitor of c-Met and ALK with IC50 of 11 nM and 24 nM, respectivley."	d7	Z188653	H_1	E_2			
S1039	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	1	"Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM."	d5	Z188653	F_1	F_2			
S1023	Erlotinib HCl (OSI-744)	kinase	"Autophagy,EGFR"	2	"Erlotinib HCl (OSI-744) is an EGFR inhibitor with IC50 of 2 nM, >1000-fold more sensitive for EGFR than human c-Src or v-Abl. Phase 3."	d3	Z188653	C_1	G_2			
S2743	PF-04691502	kinase	"Akt,mTOR,PI3K"	2	"PF-04691502 is an ATP-competitive PI3K(Ì_å±/Ì_å_/Ì_å«/Ì_å_)/mTOR dual inhibitor with Ki of 1.8 nM/2.1 nM/1.6 nM/1.9 nM and 16 nM, little activity against either Vps34, AKT, PDK1, p70S6K, MEK, ERK, p38, or JNK. Phase 2."	d25	Z188653	F_4	H_2			
S1092	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	7	13 and 100000	d8	Z188653	A_2	A_3			
S2817	Torin 2	kinase	"ATM/ATR,mTOR"	discuss	"Torin 2 is a potent and selective mTOR inhibitor with IC50 of 0.25 nM; 800-fold greater selectivity for mTOR than PI3K and improved pharmacokinetic properties. Inhibition of ATM/ATR/DNA-PK with EC50 of 28 nM/35 nM/118 nM, respectively."	d26	Z188653	G_4	B_3			
S1105	LY294002	kinase	"Autophagy,PI3K"	0.6	"LY294002 is the first synthetic molecule known to inhibit PI3KÌ_å±/Ì_å«/Ì_å_ with IC50 of 0.5 Ì_å_M/0.57 Ì_å_M/0.97 Ì_å_M, respectively; more stable in solution than Wortmannin, and also blocks autophagosome formation."	d27	Z188653	D_2	C_3			
S1049	Y-27632 2HCl	kinase	"Autophagy,ROCK"	140	"Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK."	d28	Z188653	G_1	D_3			
S1561	BMS-777607	kinase	"Axl,c-Met"	3	"BMS-777607 is a Met-related inhibitor for c-Met, Axl, Ron and Tyro3 with IC50 of 3.9 nM, 1.1 nM, 1.8 nM and 4.3 nM, 40-fold more selective for Met-related targets versus Lck, VEGFR-2, and TrkA/B, and more than 500-fold greater selectivity versus all other receptor and non receptor kinases. Phase 1/2."	d29	Z188653	E_3	E_3			
S1220	OSI-930	kinase	"c-Kit,CSF-1R,VEGFR"	15	"OSI-930 is a potent inhibitor of Kit, KDR and CSF-1R with IC50 of 80 nM, 9 nM and 15 nM, respectively; also potent to Flt-1, c-Raf and Lck and low activity against PDGFRÌ_å±/Ì_å_, Flt-3 and Abl. Phase 1."	d30	Z188653	A_3	F_3			
S1114	JNJ-38877605	kinase	c-Met	4	"JNJ-38877605 is an ATP-competitive inhibitor of c-Met with IC50 of 4 nM, 600-fold selective for c-Met than 200 other tyrosine and serine-threonine kinases. Phase 1."	d31	Z188653	E_2	G_3			
S1117	Triciribine	kinase	Akt	130	"Triciribine is a DNA synthesis inhibitor, also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2."	d32	Z188653	F_2	H_3			
S1171	CYC116	kinase	"Aurora Kinase,VEGFR"	9	"CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3Ì_å±/Ì_å_, CK2, Plk1 and SAPK2A. Phase 1."	d33	Z188653	G_2	A_4			
