imageID	platePosition	drugID	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	anyBlebbing	fractionBlebbing	confluency	looksLikeControl	notes
1	G_11	d19	FLI-06	GPCR	Notch	2300	FLI-06 is a novel inhibitor of Notch signaling with EC50 of 2.3 ’_Î_M.	1	1	0.3	0	pretty messed up
2	G_10	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
3	G_9	d30	OSI-930	kinase	"c-Kit,CSF-1R,VEGFR"	15	"OSI-930 is a potent inhibitor of Kit, KDR and CSF-1R with IC50 of 80 nM, 9 nM and 15 nM, respectively; also potent to Flt-1, c-Raf and Lck and low activity against PDGFR’_Î±/’_Î_, Flt-3 and Abl. Phase 1."	1	0.15	0.8	0	NA
4	G_8	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
5	G_7	DMSOonly	NA	NA	NA	NA	NA	0	0	1	1	NA
6	G_6	d24	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	"Foretinib (GSK1363089) is an ATP-competitive inhibitor of HGFR and VEGFR, mostly for Met and KDR with IC50 of 0.4 nM and 0.9 nM. Less potent against Ron, Flt-1/3/4, Kit, PDGFR’_Î±/’_Î_ and Tie-2, and little activity to FGFR1 and EGFR. Phase 2."	1	0.05	1	0	ragged edges
7	G_5	d25	PF-04691502	kinase	"Akt,mTOR,PI3K"	2	"PF-04691502 is an ATP-competitive PI3K(’_Î±/’_Î_/’_Î‚/’_Î_)/mTOR dual inhibitor with Ki of 1.8 nM/2.1 nM/1.6 nM/1.9 nM and 16 nM, little activity against either Vps34, AKT, PDK1, p70S6K, MEK, ERK, p38, or JNK. Phase 2."	1	0.05	1	0	somewhat spindlier than controls
8	G_4	d3	Erlotinib HCl (OSI-744)	kinase	"Autophagy,EGFR"	2	"Erlotinib HCl (OSI-744) is an EGFR inhibitor with IC50 of 2 nM, >1000-fold more sensitive for EGFR than human c-Src or v-Abl. Phase 3."	0	0	1	1	looks pretty normal
9	G_3	d33	CYC116	kinase	"Aurora Kinase,VEGFR"	9	"CYC116 is a potent inhibitor of Aurora A/B with Ki of 8.0 nM/9.2 nM, is less potent to VEGFR2 (Ki of 44 nM), with 50-fold greater potency than CDKs, not active against PKA, Akt/PKB, PKC, no effect on GSK-3’_Î±/’_Î_, CK2, Plk1 and SAPK2A. Phase 1."	0	0	1	1	looks pretty normal
10	G_2	d8	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	7	13 and 100000	0	0	1	1	looks pretty normal
