platePosition,condition
A_1,A_1
A_2,DMSOonly-control
A_3,C_2
A_4,F_1
A_5,C_2
A_6,G_2
A_7,D_2
A_8,DMSOonly-control
A_9,D_1
A_10,DMSOonly-control
A_11,G_1
A_12,H_2
B_1,H_1
B_2,B_3
B_3,H_3
B_4,B_1
B_5,E_1
B_6,F_2
B_7,H_1
B_8,B_2
B_9,D_3
B_10,DMSOonly-control
B_11,DMSOonly-control
B_12,H_3
C_1,DMSOonly-control
C_2,DMSOonly-control
C_3,F_3
C_4,E_2
C_5,C_3
C_6,F_2
C_7,D_1
C_8,DMSOonly-control
C_9,DMSOonly-control
C_10,A_4
C_11,C_2
C_12,DMSOonly-control
D_1,DMSOonly-control
D_2,D_3
D_3,F_1
D_4,G_1
D_5,F_3
D_6,A_1
D_7,E_2
D_8,D_1
D_9,B_3
D_10,A_4
D_11,H_2
D_12,G_2
E_1,E_3
E_2,C_3
E_3,C_1
E_4,DMSOonly-control
E_5,D_2
E_6,B_2
E_7,F_1
E_8,A_3
E_9,D_3
E_10,D_2
E_11,G_3
E_12,A_4
F_1,C_1
F_2,E_1
F_3,A_2
F_4,G_1
F_5,B_2
F_6,DMSOonly-control
F_7,DMSOonly-control
F_8,B_1
F_9,E_2
F_10,F_2
F_11,B_1
F_12,DMSOonly-control
G_1,E_1
G_2,H_3
G_3,B_3
G_4,E_3
G_5,G_2
G_6,H_2
G_7,A_2
G_8,A_3
G_9,DMSOonly-control
G_10,C_1
G_11,DMSOonly-control
G_12,H_1
H_1,C_3
H_2,E_3
H_3,F_3
H_4,DMSOonly-control
H_5,DMSOonly-control
H_6,DMSOonly-control
H_7,A_2
H_8,DMSOonly-control
H_9,G_3
H_10,G_3
H_11,A_1
H_12,A_3
