platePosition,condition
A_1,pair_1
A_2,DMSOonly-control
A_3,pair_11
A_4,pair_6
A_5,pair_11
A_6,pair_15
A_7,pair_12
A_8,DMSOonly-control
A_9,pair_4
A_10,DMSOonly-control
A_11,pair_7
A_12,pair_16
B_1,pair_8
B_2,pair_18
B_3,pair_24
B_4,pair_2
B_5,pair_5
B_6,pair_14
B_7,pair_8
B_8,pair_10
B_9,pair_20
B_10,DMSOonly-control
B_11,DMSOonly-control
B_12,pair_24
C_1,DMSOonly-control
C_2,DMSOonly-control
C_3,pair_22
C_4,pair_13
C_5,pair_19
C_6,pair_14
C_7,pair_4
C_8,DMSOonly-control
C_9,DMSOonly-control
C_10,pair_25
C_11,pair_11
C_12,DMSOonly-control
D_1,DMSOonly-control
D_2,pair_20
D_3,pair_6
D_4,pair_7
D_5,pair_22
D_6,pair_1
D_7,pair_13
D_8,pair_4
D_9,pair_18
D_10,pair_25
D_11,pair_16
D_12,pair_15
E_1,pair_21
E_2,pair_19
E_3,pair_3
E_4,DMSOonly-control
E_5,pair_12
E_6,pair_10
E_7,pair_6
E_8,pair_17
E_9,pair_20
E_10,pair_12
E_11,pair_23
E_12,pair_25
F_1,pair_3
F_2,pair_5
F_3,pair_9
F_4,pair_7
F_5,pair_10
F_6,DMSOonly-control
F_7,DMSOonly-control
F_8,pair_2
F_9,pair_13
F_10,pair_14
F_11,pair_2
F_12,DMSOonly-control
G_1,pair_5
G_2,pair_24
G_3,pair_18
G_4,pair_21
G_5,pair_15
G_6,pair_16
G_7,pair_9
G_8,pair_17
G_9,DMSOonly-control
G_10,pair_3
G_11,DMSOonly-control
G_12,pair_8
H_1,pair_19
H_2,pair_21
H_3,pair_22
H_4,DMSOonly-control
H_5,DMSOonly-control
H_6,DMSOonly-control
H_7,pair_9
H_8,DMSOonly-control
H_9,pair_23
H_10,pair_23
H_11,pair_1
H_12,pair_17
