Product.Name	pairID	stockWellID	Catalog.No.	Class	M.w.	Targets	Information	Max.Solubility.in.DMSO..mM.	Pathway	medianIC50	X100x.target.concentration.nM.	target.volume..uL.	starting.volume..uL.	X100x.deliveryStock.concentration..uM.	total.100XdeliveryStock.volume..uL.	SelleckChem.concentration..uM.	SelleckChem.stock.volume	DMSO.volume
PP242	pair_1	A_1	S2218	kinase	308.34	mTOR,Autophagy	PP242 is a selective mTOR inhibitor with IC50 of 8 nM; targets both mTOR complexes with >10- and 100-fold selectivity for mTOR than PI3Kδ or PI3Kα/β/γ, respectively.	201	PI3K/Akt/mTOR	8	800	250	0.35	571.4285714	100	10000	5.714285714	94.28571429
GDC-0879	pair_2	B_1	S1104	kinase	334.37	Raf	GDC-0879 is a novel, potent, and selective B-Raf inhibitor with IC50 of 0.13 nM with activity against c-Raf as well; no inhibition known to other protein kinases.	200	MAPK	0.13	13	250	0.35	9.285714286	200	10000	0.1857142857	199.8142857
BX-795	pair_3	C_1	S1274	kinase	591.47	IκB/IKK,PDK-1	BX795 is a potent and specific PDK1 inhibitor with IC50 of 6 nM, 140- and 1600-fold more selective for PDK1 than PKA and PKC, respectively. Meanwhile, in comparison to GSK3β more than 100-fold selectivity observed for PDK1.	169	PI3K/Akt/mTOR	6	600	250	0.35	428.5714286	100	10000	4.285714286	95.71428571
Everolimus (RAD001)	pair_4	D_1	S1120	kinase	958.22	mTOR	Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.	31	PI3K/Akt/mTOR	2	200	250	0.35	142.8571429	100	10000	1.428571429	98.57142857
Rigosertib (ON-01910)	pair_5	E_1	S1362	kinase	473.47	PLK	Rigosertib (ON-01910) is a non-ATP-competitive inhibitor of PLK1 with IC50 of 9 nM. It shows 30-fold greater selectivity against Plk2 and no activity to Plk3. Phase 3.	200	Cell Cycle	9	900	250	0.35	642.8571429	100	10000	6.428571429	93.57142857
Genistein	pair_6	F_1	S1342	kinase	270.24	Topoisomerase,EGFR	Genistein, a phytoestrogen found in soy products, is a highly specific inhibitor of protein tyrosine kinase (PTK) which blocks the mitogenic effect mediated by EGF on NIH-3T3 cells with IC50 of 12μM or by insulin with IC50 of 19 μM.	199	Protein Tyrosine Kinase	12000	1200000	250	0.35	857142.8571	100	10000	35	0
GNF-2	pair_7	G_1	S2899	kinase	374.32	Bcr-Abl	GNF-2 is a highly selective non-ATP competitive inhibitor of Bcr-Abl, shows no activity to Flt3-ITD, Tel-PDGFR, TPR-MET and Tel-JAK1 transformed tumor cells.	200	Angiogenesis	14	1400	250	0.35	1000	100	10000	10	90
CP-724714	pair_8	H_1	S1167	kinase	469.53	EGFR,HER2	CP-724,714 is a potent, selective inhibitor of HER2/ErbB2 with IC50 of 10 nM, >640-fold selectivity against EGFR, InsR, IRG-1R, PDGFR, VEGFR2, Abl, Src, c-Met etc. Phase 2.	200	Protein Tyrosine Kinase	10	1000	250	0.35	714.2857143	100	10000	7.142857143	92.85714286
Honokiol	pair_9	A_2	S2310	kinase	266.334	MEK,Akt	Honokiol is the active principle of magnolia extract that inhibits Akt-phosphorylation and promotes ERK1/2phosphorylation. Phase 3.	198	PI3K/Akt/mTOR	10	1000	250	0.35	714.2857143	100	10000	7.142857143	92.85714286
JNJ-7706621	pair_10	B_2	S1249	kinase	394.36	CDK,Aurora Kinase	JNJ-7706621 is pan-CDK inhibitor with the highest potency on CDK1/2 with IC50 of 9 nM/4 nM and showing >6-fold selectivity for CDK1/2 than CDK3/4/6. It also potently inhibits Aurora A/B and has no activity on Plk1 and Wee1.	200	Cell Cycle	9	900	250	0.35	642.8571429	100	10000	6.428571429	93.57142857
PF-00562271	pair_11	C_2	S2672	kinase	665.66	FAK	PF-00562271 is the benzenesulfonate salt of PF-562271, which is a potent, ATP-competitive, reversible inhibitor of FAK with IC50 of 1.5 nM, ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases, except for some CDKs. Phase 1.	21	Angiogenesis	2	200	250	0.35	142.8571429	100	10000	1.428571429	98.57142857
VX-745	pair_12	D_2	S1458	kinase	436.26	p38 MAPK	VX-745 is a potent and selective inhibitor of p38α with IC50 of 10 nM, 22-fold greater selectivity versus p38β and no inhibition to p38γ.	34	MAPK	10	1000	250	0.35	714.2857143	100	10000	7.142857143	92.85714286
