imageID	platePosition	pairID	drug1	drug2	confuency	percentBlebbing	manualInclude	notes
1	G_11	DMSOonly-control	NA	NA	1	0	1	good
2	G_10	pair_3	BX-795	Bosutinib (SKI-606)	1	0.05	1	some small blebs
3	G_9	DMSOonly-control	NA	NA	1	0.1	1	some small blebs
4	G_8	pair_17	Mubritinib (TAK 165)	AT7867	0.95	0.1	1	some slowed growth but otherwise ok
5	G_7	pair_9	Honokiol	AC480 (BMS-599626)	1	0.05	1	some small blebs
6	G_6	pair_16	A-769662	SP600125	1	0.05	1	some small blebs
7	G_5	pair_15	PHT-427	SNS-032 (BMS-387032)	0.25	0.5	0.8	look mostly fibroblastic but no growth from seeding
8	G_4	pair_21	GDC-0980 (RG7422)	RAF265 (CHIR-265)	0.85	0	1	big and fibroblastic with slowed growth
9	G_3	pair_18	ID-8	Ponatinib (AP24534)	0.95	0.15	1	some small blebs
10	G_2	pair_24	Indirubin	Tyrphostin AG 879	1	0.1	1	some small blebs and some knots of disorganization
11	F_11	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.1	1	some small blebs
12	F_10	pair_14	CUDC-907	GSK690693	0.75	0.5	1	big and fibroblasticand some blebs with slowed growth
13	F_9	pair_13	Ibrutinib (PCI-32765)	BI 2536	0.8	0.5	1	big and fibroblasticand some blebs with slowed growth
14	F_8	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.05	1	some small blebs
15	F_7	DMSOonly-control	NA	NA	1	0.05	1	some small blebs
16	F_6	DMSOonly-control	NA	NA	1	0.05	1	some small blebs
17	F_5	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.05	1	some small blebs
18	F_4	pair_7	GNF-2	NVP-AEW541	1	0.1	1	more whorled organization
19	F_3	pair_9	Honokiol	AC480 (BMS-599626)	1	0.05	1	some small blebs
20	F_2	pair_5	Rigosertib (ON-01910)	"Ridaforolimus (Deforolimus, MK-8669)"	1	0.15	1	some medium blebs and not totally densely packed
21	E_11	pair_23	Phenformin HCl	NVP-BHG712	1	0	1	good
22	E_10	pair_12	VX-745	GSK1904529A	1	0.1	1	some small blebs
23	E_9	pair_20	AZ 960	TWS119	1	0.1	1	some small blebs
24	E_8	pair_17	Mubritinib (TAK 165)	AT7867	0.95	0.25	1	small blebs and not totally densely packed
25	E_7	pair_6	Genistein	Sorafenib Tosylate	1	0	1	some small blebs
26	E_6	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.1	1	some small blebs
27	E_5	pair_12	VX-745	GSK1904529A	1	0.1	1	some small blebs
28	E_4	DMSOonly-control	NA	NA	1	0.05	1	some small blebs
29	E_3	pair_3	BX-795	Bosutinib (SKI-606)	1	0.2	1	some small blebs
30	E_2	pair_19	ZCL278	H 89 2HCl	1	0.1	1	some small blebs
31	D_11	pair_16	A-769662	SP600125	1	0.2	1	some small blebs
32	D_10	pair_25	A-674563	BI-D1870	1	0.1	1	some small blebs
33	D_9	pair_18	ID-8	Ponatinib (AP24534)	0.9	0.2	1	some patch of low packing and maybe a dying cell or two
34	D_8	pair_4	Everolimus (RAD001)	PD184352 (CI-1040)	0.97	0.2	1	some small blebs and not totally densely packed
35	D_7	pair_13	Ibrutinib (PCI-32765)	BI 2536	0.4	0.6	0.8	look mostly fibroblastic but no growth from seeding
36	D_6	pair_1	PP242	Selumetinib (AZD6244)	1	0.1	1	some small blebs
37	D_5	pair_22	NSC 23766	PF-4708671	1	0.2	1	some small blebs
38	D_4	pair_7	GNF-2	NVP-AEW541	1	0.1	1	some small blebs
39	D_3	pair_6	Genistein	Sorafenib Tosylate	1	0.1	1	some small blebs
40	D_2	pair_20	AZ 960	TWS119	1	0.1	1	some small blebs
41	C_11	pair_11	PF-00562271	Racecadotril 	1	0.15	1	some small blebs
42	C_10	pair_25	A-674563	BI-D1870	1	0.1	1	some small blebs
43	C_9	DMSOonly-control	NA	NA	1	0.1	1	some small blebs
44	C_8	DMSOonly-control	NA	NA	1	0.1	1	some small blebs
45	C_7	pair_4	Everolimus (RAD001)	PD184352 (CI-1040)	0.95	0.3	1	a little strung out
46	C_6	pair_14	CUDC-907	GSK690693	0.75	0.5	1	patches of slow growth and some medium blebs
47	C_5	pair_19	ZCL278	H 89 2HCl	1	0.2	1	some small blebs
48	C_4	pair_13	Ibrutinib (PCI-32765)	BI 2536	0.65	0.3	1	slowed growth and some large blebs
49	C_3	pair_22	NSC 23766	PF-4708671	1	0.1	1	a bit flattened
50	C_2	DMSOonly-control	NA	NA	1	0.1	1	some small blebs
51	B_11	DMSOonly-control	NA	NA	1	0.05	1	some small blebs
52	B_10	DMSOonly-control	NA	NA	1	0.1	1	some small blebs
53	B_9	pair_20	AZ 960	TWS119	1	0.1	1	some small blebs and two knots of disorganization
54	B_8	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.25	1	some small blebs
55	B_7	pair_8	CP-724714	"Temsirolimus (CCI-779, NSC 683864)"	0.95	0.1	1	some small blebs and not totally densely packed
56	B_6	pair_14	CUDC-907	GSK690693	0.5	0.5	0.8	look mostly fibroblastic but only low growth from seeding
57	B_5	pair_5	Rigosertib (ON-01910)	"Ridaforolimus (Deforolimus, MK-8669)"	0.85	0.2	1	some large blebs and not too closely packed
58	B_4	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.25	1	some small blebs
59	B_3	pair_24	Indirubin	Tyrphostin AG 879	1	0.2	1	some knots of disorganization and a bit strung out
60	B_2	pair_18	ID-8	Ponatinib (AP24534)	0.95	0.2	1	some small blebs and one area of low growth
