Catalog.No.	Product.Name	Class	Targets	drugIDforPlating	MedianIC50	DeliveredPlateID	DeliveredPlateWell	stocksPlatePosition
S1028	Lapatinib (GW-572016) Ditosylate	kinase	"HER2,EGFR"	d13	10	Z204925	B_1	A_1
S1018	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	d14	5	Z204925	A_1	B_1
S1119	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	d15	7	Z204925	G_1	C_1
S1075	SB216763	kinase	GSK-3	d16	34.3	Z204925	D_1	D_1
S2703	GSK1838705A	kinase	"IGF-1R,ALK"	d17	1	Z204925	B_2	E_1
S1143	AG-490 (Tyrphostin B42)	kinase	"JAK,EGFR"	d18	100	Z204925	H_1	F_1
S7399	FLI-06	GPCR	Notch	d19	2300	Z204925	D_2	G_1
S1630	Allopurinol	GPCR	OX Receptor	d20	7800	Z204925	A_2	H_1
S1076	SB203580	kinase	p38 MAPK	d21	400	Z204925	E_1	A_2
S1038	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	d23	16	Z204925	C_1	B_2
S1111	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	d24	0.7	Z204925	F_1	C_2
S1021	Dasatinib	kinase	"Bcr-Abl,c-Kit,Src"	d2	1	Z188653	B_1	D_2
S1068	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	d7	24	Z188653	H_1	E_2
S1039	Rapamycin (Sirolimus)	kinase	"Autophagy,mTOR"	d5	1	Z188653	F_1	F_2
S1005	Axitinib	kinase	"c-Kit,VEGFR,PDGFR"	d1	NA	Z188653	A_1	A_1
S1023	Erlotinib HCl (OSI-744)	kinase	"Autophagy,EGFR"	d3	2	Z188653	C_1	C_1
S1026	Imatinib Mesylate (STI571)	kinase	"c-Kit,Bcr-Abl,PDGFR"	d4	NA	Z188653	D_1	D_1
S1049	Y-27632 2HCl	kinase	"Autophagy,ROCK"	d6	NA	Z188653	G_1	G_1
S1092	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	d8	NA	Z188653	A_2	A_2
S1615	Risperidone	GPCR	5-HT Receptor	d9	NA	Z188653	F_3	F_3
S1283	Asenapine	GPCR	"5-HT Receptor,Adrenergic Receptor"	d10	101	Z188653	C_3	C_3
S2493	Olanzapine	GPCR	"5-HT Receptor,Dopamine Receptor"	d11	NA	Z188653	D_4	D_4
S1805	Acetylcholine Chloride	GPCR	AChR	d12	NA	Z188653	H_3	H_3
S2743	PF-04691502	kinase	"Akt,mTOR,PI3K"	d25	2	Z188653	F_4	H_2
S1092	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	d8	7	Z188653	A_2	A_3
S2817	Torin 2	kinase	"ATM/ATR,mTOR"	d26	0.3	Z188653	G_4	B_3
S1105	LY294002	kinase	"Autophagy,PI3K"	d27	0.6	Z188653	D_2	C_3
S1049	Y-27632 2HCl	kinase	"Autophagy,ROCK"	d28	140	Z188653	G_1	D_3
S1561	BMS-777607	kinase	"Axl,c-Met"	d29	3	Z188653	E_3	E_3
S1220	OSI-930	kinase	"c-Kit,CSF-1R,VEGFR"	d30	15	Z188653	A_3	F_3
S1114	JNJ-38877605	kinase	c-Met	d31	4	Z188653	E_2	G_3
S1117	Triciribine	kinase	Akt	d32	130	Z188653	F_2	H_3
S1171	CYC116	kinase	"Aurora Kinase,VEGFR"	d33	9	Z188653	G_2	A_4
