platePosition,condition
A_1,DMSOonly-control
A_2,d51
A_3,DMSOonly-control
A_4,DMSOonly-control
A_5,d51
A_6,DMSOonly-control
A_7,d55
A_8,d52
A_9,d34
A_10,d34
A_11,d35
A_12,DMSOonly-control
B_1,d37
B_2,d48
B_3,DMSOonly-control
B_4,d36
B_5,d35
B_6,d41
B_7,d45
B_8,DMSOonly-control
B_9,d54
B_10,d37
B_11,d46
B_12,d57
C_1,DMSOonly-control
C_2,d44
C_3,d58
C_4,d53
C_5,d40
C_6,d38
C_7,d55
C_8,d53
C_9,d57
C_10,DMSOonly-control
C_11,d42
C_12,DMSOonly-control
D_1,DMSOonly-control
D_2,d41
D_3,DMSOonly-control
D_4,DMSOonly-control
D_5,d39
D_6,DMSOonly-control
D_7,DMSOonly-control
D_8,d57
D_9,d47
D_10,d56
D_11,d50
D_12,DMSOonly-control
E_1,d35
E_2,d36
E_3,DMSOonly-control
E_4,d49
E_5,d54
E_6,d47
E_7,DMSOonly-control
E_8,d36
E_9,d52
E_10,d46
E_11,d43
E_12,d48
F_1,d49
F_2,d58
F_3,d49
F_4,DMSOonly-control
F_5,d43
F_6,d45
F_7,d52
F_8,d37
F_9,d58
F_10,d54
F_11,d39
F_12,d48
G_1,d51
G_2,d38
G_3,d39
G_4,d50
G_5,d46
G_6,d34
G_7,d40
G_8,d40
G_9,DMSOonly-control
G_10,d56
G_11,d41
G_12,DMSOonly-control
H_1,d44
H_2,d42
H_3,d55
H_4,d45
H_5,d47
H_6,d50
H_7,d44
H_8,d56
H_9,d53
H_10,d38
H_11,d42
H_12,d43
