imageID	platePosition	pairID	drug1	drug2	confluency	percentBlebbing	percentBeating	manualInclude	notes
1	G_11	DMSOonly-control	NA	NA	1	0.1	0.7	1	looks good
2	G_10	pair_3	BX-795	Bosutinib (SKI-606)	1	0.1	0.7	1	looks good
3	G_9	DMSOonly-control	NA	NA	1	0.1	0.7	1	looks good
4	G_8	pair_17	Mubritinib (TAK 165)	AT7867	0.8	0.25	0.5	1	some patches of cell depletion but otherwise look ok
5	G_7	pair_9	Honokiol	AC480 (BMS-599626)	1	0.15	0.6	1	some gravelly but mostly good
6	G_6	pair_16	A-769662	SP600125	1	0.25	0.7	1	looks good
7	G_5	pair_15	PHT-427	SNS-032 (BMS-387032)	0.5	1	0.1	0.5	mostly dying or stressed but a few still beating
8	G_4	pair_21	GDC-0980 (RG7422)	RAF265 (CHIR-265)	0.9	0.6	0.6	1	a patch of cell depletion and a fair amount of blebbing but mostly look fine
9	G_3	pair_18	ID-8	Ponatinib (AP24534)	1	0.1	0.2	1	lower intensity beating but morphologically fine
10	G_2	pair_24	Indirubin	Tyrphostin AG 879	1	0.2	0.7	1	some blebs but looks good
11	F_2	pair_5	Rigosertib (ON-01910)	"Ridaforolimus (Deforolimus, MK-8669)"	0.95	0.3	0.5	1	some blebbing but mostly good
12	F_3	pair_9	Honokiol	AC480 (BMS-599626)	1	0.15	0.4	1	lower intensity beating but morphologically fine
13	F_4	pair_7	GNF-2	NVP-AEW541	0.5	1	0	0	half of cells dead and others stressed and nonbeating
14	F_5	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.15	0.6	1	looks good
15	F_6	DMSOonly-control	NA	NA	1	0.2	0.8	1	looks good
16	F_7	DMSOonly-control	NA	NA	1	0.1	0.6	1	looks good
17	F_8	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.1	0.6	1	looks good
18	F_9	pair_13	Ibrutinib (PCI-32765)	BI 2536	1	0.4	0.15	1	some beating and morphologically ok
19	F_10	pair_14	CUDC-907	GSK690693	0.9	0.2	0.4	1	patch of cells spreading out but mostly fine
20	F_11	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.15	0.7	1	looks good
21	E_11	pair_23	Phenformin HCl	NVP-BHG712	1	0.15	0.8	1	some gravelly but mostly good
22	E_10	pair_12	VX-745	GSK1904529A	1	0.1	0.8	1	looks good
23	E_9	pair_20	AZ 960	TWS119	1	0.2	0.4	1	lower frequency beating but still fine
24	E_8	pair_17	Mubritinib (TAK 165)	AT7867	0.85	0.2	0.05	1	very infrequent beating but morphologically ok
25	E_7	pair_6	Genistein	Sorafenib Tosylate	1	0.15	0.6	1	a bit gravelly but fine
26	E_6	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.4	0.6	1	some low magnitude beats but mostly fine
27	E_5	pair_12	VX-745	GSK1904529A	1	0.3	0.7	1	looks fine
28	E_4	DMSOonly-control	NA	NA	1	0.1	0.5	1	patch of blebs but otherwise good
29	E_3	pair_3	BX-795	Bosutinib (SKI-606)	1	0.2	0.15	1	low frequency beating but morphologically ok
30	E_2	pair_19	ZCL278	H 89 2HCl	1	0.3	0.5	1	looks fine
31	D_2	pair_20	AZ 960	TWS119	1	0.15	0.8	1	looks good
32	D_3	pair_6	Genistein	Sorafenib Tosylate	1	0.3	0.6	1	low magnitude beating but otherwise fine
33	D_4	pair_7	GNF-2	NVP-AEW541	0.4	1	0.05	0	very stressed and much death but a few still beating
34	D_5	pair_22	NSC 23766	PF-4708671	1	0.4	0.1	1	low frequency beating but morphologically ok
35	D_6	pair_1	PP242	Selumetinib (AZD6244)	1	0.3	0.5	1	looks fine
36	D_7	pair_13	Ibrutinib (PCI-32765)	BI 2536	0.95	0.5	0.1	1	low frequency beating but morphologically ok
37	D_8	pair_4	Everolimus (RAD001)	PD184352 (CI-1040)	0.95	0.3	0.4	1	some spreading out of cells but overall fine
38	D_9	pair_18	ID-8	Ponatinib (AP24534)	1	0.3	0.7	1	blebby but fine
39	D_10	pair_25	A-674563	BI-D1870	0.95	0.2	0.1	1	low magnitude and low frequency beating but morphologically mostly fine
40	D_11	pair_16	A-769662	SP600125	1	0.15	0.5	1	looks fine
41	C_11	pair_11	PF-00562271	Racecadotril 	1	0.15	0.2	1	infrequent asynchronous beating but otherwise fine
42	C_10	pair_25	A-674563	BI-D1870	0.95	0.1	0	0.8	only very slow motion infrequently observed. Morphologically ok but some spreading out
43	C_9	DMSOonly-control	NA	NA	1	0.15	0.6	1	looks fine
44	C_8	DMSOonly-control	NA	NA	1	0.15	0.6	1	looks fine
45	C_7	pair_4	Everolimus (RAD001)	PD184352 (CI-1040)	1	0.3	0.6	1	looks good but with after-beats
46	C_6	pair_14	CUDC-907	GSK690693	0.95	0.5	0.15	1	infrequent beating but mostly morphologically ok
47	C_5	pair_19	ZCL278	H 89 2HCl	1	0.2	0.4	1	looks fine
48	C_4	pair_13	Ibrutinib (PCI-32765)	BI 2536	1	0.6	0	0.8	only very slow motion observed but mostly morphologically ok
49	C_3	pair_22	NSC 23766	PF-4708671	0.95	0.6	0.05	1	very infrequent beating but morphologically ok
50	C_2	DMSOonly-control	NA	NA	1	0.1	0.8	1	looks good
51	B_2	pair_18	ID-8	Ponatinib (AP24534)	1	0.15	0.2	1	infrequent beating but mostly morphologically ok
52	B_3	pair_24	Indirubin	Tyrphostin AG 879	1	0.3	0.5	1	blebby but fine
53	B_4	pair_2	GDC-0879	Afatinib (BIBW2992)	1	0.2	0.6	1	looks fine
54	B_5	pair_5	Rigosertib (ON-01910)	"Ridaforolimus (Deforolimus, MK-8669)"	1	0.3	0.6	1	blebby but fine
55	B_6	pair_14	CUDC-907	GSK690693	0.9	0.5	0.2	1	some spreading out of cells but overall fine
56	B_7	pair_8	CP-724714	"Temsirolimus (CCI-779, NSC 683864)"	1	0.2	0.1	1	infrequent beating but mostly morphologically ok
57	B_8	pair_10	JNJ-7706621	SB202190 (FHPI)	1	0.15	0.7	1	looks good
58	B_9	pair_20	AZ 960	TWS119	0.95	0.1	0.7	1	one patch of cell depletion but otherwise looks good
59	B_10	DMSOonly-control	NA	NA	0.95	0.15	0.6	0.9	there is a patch of cell depletion and blebbing but the rest looks good
60	B_11	DMSOonly-control	NA	NA	0.95	0.15	0.7	1	looks ok
