platePosition,condition
A_1,F_1-100x
A_2,A_1-100x
A_3,C_1-1x
A_4,E_1-100x
A_5,C_2-20x
A_6,E_2-100x
A_7,G_1-1x
A_8,E_2-20x
A_9,F_2-100x
A_10,A_1-1x
A_11,C_2-20x
A_12,F_1-100x
B_1,B_2-20x
B_2,B_1-1x
B_3,C_1-100x
B_4,C_1-20x
B_5,A_2-100x
B_6,A_2-1x
B_7,B_2-100x
B_8,A_2-1x
B_9,F_1-1x
B_10,DMSOonly-control
B_11,B_1-100x
B_12,B_1-20x
C_1,E_1-1x
C_2,DMSOonly-control
C_3,DMSOonly-control
C_4,E_2-20x
C_5,C_1-100x
C_6,D_1-100x
C_7,A_1-20x
C_8,A_2-100x
C_9,DMSOHeLa-HeLa
C_10,A_1-1x
C_11,D_1-100x
C_12,D_1-1x
D_1,B_2-20x
D_2,G_1-20x
D_3,D_1-20x
D_4,G_1-1x
D_5,E_1-20x
D_6,F_2-1x
D_7,D_2-20x
D_8,H_1-20x
D_9,D_2-100x
D_10,C_2-1x
D_11,H_1-1x
D_12,F_1-1x
E_1,DMSOHeLa-HeLa
E_2,C_2-100x
E_3,F_2-100x
E_4,DMSOonly-control
E_5,E_2-100x
E_6,F_2-20x
E_7,D_2-1x
E_8,DMSOonly-control
E_9,B_2-1x
E_10,DMSOHeLa-HeLa
E_11,A_1-100x
E_12,F_1-20x
F_1,D_1-1x
F_2,DMSOonly-control
F_3,G_1-100x
F_4,B_1-1x
F_5,E_2-1x
F_6,D_2-100x
F_7,D_1-20x
F_8,DMSOonly-control
F_9,A_2-20x
F_10,F_2-20x
F_11,DMSOHeLa-HeLa
F_12,B_2-100x
G_1,D_2-20x
G_2,E_2-1x
G_3,DMSOonly-control
G_4,C_1-1x
G_5,C_2-1x
G_6,H_1-20x
G_7,C_1-20x
G_8,B_2-1x
G_9,G_1-100x
G_10,G_1-20x
G_11,B_1-100x
G_12,H_1-1x
H_1,E_1-20x
H_2,A_1-20x
H_3,B_1-20x
H_4,DMSOonly-control
H_5,F_2-1x
H_6,E_1-1x
H_7,C_2-100x
H_8,DMSOonly-control
H_9,E_1-100x
H_10,F_1-20x
H_11,A_2-20x
H_12,D_2-1x
