imageID	platePosition	drugIDforPlating	foldIC50	Product.Name	Class	Targets	MedianIC50	anyBeating	fractionBeating	anyBlebbing	fractionBlebbing	confluency	notes
1	G_11	d14	100x	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	1	0.7	1	0.6	0.7	patches of low confluency
2	G_10	d19	20x	FLI-06	GPCR	Notch	2300	1	0.9	1	0.05	1	NA
3	G_9	d19	100x	FLI-06	GPCR	Notch	2300	1	0.6	1	0.05	0.95	slow beating
4	G_8	d23	1x	PI-103	kinase	"PI3K,Autophagy,DNA-PK,mTOR"	16	1	0.05	1	0.75	0.6	patches of confluency with little beating
5	G_7	d15	20x	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	1	1	0	0	0.95	NA
6	G_6	d20	20x	Allopurinol	GPCR	OX Receptor	7800	1	0.8	1	0.4	0.9	even blebbing cells beating
7	G_5	d24	1x	Foretinib (GSK1363089)	kinase	"VEGFR,c-Met"	0.7	1	1	0	0	1	NA
8	G_4	d15	1x	"Cabozantinib (XL184, BMS-907351)"	kinase	"FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl"	7	1	1	0	0	1	double-beating (beat-beat-pause)
9	G_3	DMSOonly	control	NA	NA	NA	NA	1	1	0	0	1	starting to grow a little vertically in places with black foci interspersed
10	G_2	d7	1x	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	24	1	0.9	1	0.4	1	even blebbing cells beating
11	F_2	DMSOonly	control	NA	NA	NA	NA	1	1	0	0	1	NA
12	F_3	d19	100x	FLI-06	GPCR	Notch	2300	1	0.9	0	0	1	fast beating then pause
13	F_4	d14	1x	"Dovitinib (TKI-258, CHIR-258)"	kinase	"FGFR,FLT3,c-Kit,VEGFR,PDGFR"	5	1	1	1	0.05	0.95	irregular and asynchronous fast beating
14	F_5	d7	1x	Crizotinib (PF-02341066)	kinase	"c-Met,ALK"	24	0	0	1	0.1	1	slightly out of focus
