drugID	Catalog.No.	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	deliveredDrugPlateID	deliveredDrugPlateWell	GeneSymbolList
d1	S1005	Axitinib	kinase	c-Kit,VEGFR,PDGFR	0.2	Axitinib is a multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFRβ and c-Kit with IC50 of 0.1 nM, 0.2 nM, 0.1-0.3 nM, 1.6 nM and 1.7 nM, respectively.	Z188653	A1	FLT1^KDR^PDGFRA^KIT
d2	S1021	Dasatinib	kinase	Bcr-Abl,c-Kit,Src	17	Dasatinib is a novel, potent and multi-targeted inhibitor that targets Abl, Src and c-Kit, with IC50 of ＜1 nM, 0.8 nM and 79 nM, respectively.	Z188653	B1	ABL1^SRC^KIT
d3	S1023	Erlotinib HCl (OSI-744)	kinase	Autophagy,EGFR	2	Erlotinib HCl (OSI-744) is an EGFR inhibitor with IC50 of 2 nM, >1000-fold more sensitive for EGFR than human c-Src or v-Abl. Phase 3.	Z188653	C1	EGFR
d4	S1026	Imatinib Mesylate (STI571)	kinase	c-Kit,Bcr-Abl,PDGFR	100	Imatinib Mesylate (STI571) is an orally bioavailability mesylate salt of Imatinib, which is a multi-target inhibitor of v-Abl, c-Kit and PDGFR with IC50 of 0.6 μM, 0.1 μM and 0.1 μM, respectively.	Z188653	D1	ABL2^KIT^PDGFRA^PDGFRB
d5	S1039	Rapamycin (Sirolimus)	kinase	Autophagy,mTOR	10	Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM.	Z188653	F1	MTOR
d6	S1049	Y-27632 2HCl	kinase	Autophagy,ROCK	210	Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK.	Z188653	G1	ROCK1
d7	S1068	Crizotinib (PF-02341066)	kinase	c-Met,ALK	24	PF-2341066 (Crizotinib) is a potent inhibitor of c-Met and ALK with IC50 of 11 nM and 24 nM, respectivley.	Z188653	H1	MET^ALK
d8	S1092	KU-55933 (ATM Kinase Inhibitor)	kinase	ATM/ATR	13	KU-55933 is a potent and specific ATM inhibitor with IC50/Ki of 12.9 nM/2.2 nM, and is highly selective for ATM as compared to DNA-PK, PI3K/PI4K, ATR and mTOR.	Z188653	A2	ATM
d9	S1615	Risperidone	GPCR	5-HT Receptor	3.6	Risperidone(Risperdal) is an atypical antipsychotic used to treat schizophrenia.	Z188653	F3	HTR2A^HTR2B^HTR2C^DRD2
d10	S1283	Asenapine	GPCR	5-HT Receptor,Adrenergic Receptor	2	Asenapine inhibits adrenergic receptor (α1, α2A, α2B, α2C) with Ki of 0.25-1.2 nM and also inhibits 5-HT receptor (1A, 1B, 2A, 2B, 2C, 5A, 6, 7) with Ki of 0.03-4.0 nM.	Z188653	C3	HTR1A^HTR1B^HTR2A^HTR2B^HTR5A^HTR6^HTR7
d11	S2493	Olanzapine	GPCR	5-HT Receptor,Dopamine Receptor	79	Olanzapine is a high affinity for 5-HT2 serotonin and D2 dopamine receptor antagonist.	Z188653	D4	HTR2A^HTR2B^HTR2C^DRD2
d12	S1805	Acetylcholine Chloride	GPCR	AChR	NA	The chemical compound acetylcholine (ACh) is a neurotransmitter in both the peripheral nervous system (PNS) and central nervous system (CNS) in many organisms including humans.	Z188653	H3	CHRM1^CHRM2^CHRM3^CHRM4^CHRM5^CHRNA1^CHRNA2^CHRNA3^CHRNA4^CHRNA5^CHRNA6^CHRNA7^CHRNA9^CHRNA10^CHRNB1^CHRNB2^CHRNB3^CHRNB4^CHRND^CHRNE^CHRNG
d13	S1028	Lapatinib (GW-572016) Ditosylate	kinase	HER2,EGFR	10	Lapatinib Ditosylate (GW572016, GW2016) is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM, respectively.	Z204925	B1	EGFR^ERBB2
d14	S1018	Dovitinib (TKI-258, CHIR-258)	kinase	FGFR,FLT3,c-Kit,VEGFR,PDGFR	5	Dovitinib (TKI258, CHIR258) is a multitargeted RTK inhibitor, mostly for class III (FLT3/c-Kit) with IC50 of 1 nM/2 nM, also potent to class IV (FGFR1/3) and class V (VEGFR1-4) RTKs with IC50 of 8-13 nM, less potent to InsR, EGFR, c-Met, EphA2, Tie2, IGF-1R and HER2. Phase 4.	Z204925	A1	FLT3^KIT^FLT1^KDR^FLT4^FGFR1^FGFR3
d15	S1119	Cabozantinib (XL184, BMS-907351)	kinase	FLT3,Tie-2,c-Kit,c-Met,VEGFR,Axl	7	Cabozantinib (XL184, BMS-907351) is a potent VEGFR2 inhibitor with IC50 of 0.035 nM and also inhibits c-Met, Ret, Kit, Flt-1/3/4, Tie2, and AXL with IC50 of 1.3 nM, 4 nM, 4.6 nM, 12 nM/11.3 nM/6 nM, 14.3 nM and 7 nM, respectively.	Z204925	G1	KDR^MET^RET^FLT1^FLT3^FLT4^AXL
d16	S1075	SB216763	kinase	GSK-3	34.3	SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3Î± and equally effective at inhibiting human GSK-3Î².	Z204925	D1	GSK3A^GSK3B
d17	S2703	GSK1838705A	kinase	IGF-1R,ALK	1	GSK1838705A is a potent IGF-1R inhibitor with IC50 of 2.0 nM, modestly potent to IR and ALK with IC50 of 1.6 nM and 0.5 nM, respectively, and little activity to other protein kinases.	Z204925	B2	IGF1R^INSR^ALK
d18	S1143	AG-490 (Tyrphostin B42)	kinase	JAK,EGFR	100	AG-490 (Tyrphostin B42) is an inhibitor of EGFR with IC50 of 0.1 Î¼M, 135-fold more selective for EGFR versus ErbB2, also inhibits JAK2 with no activity to Lck, Lyn, Btk, Syk and Src.	Z204925	H1	EGFR^ERBB2^JAK2
