GeneSymbol	cTnTZ.score	aMHCZ.score
1	PHF7	9.7	7.4
2	ZNF281	7	2.9
3	LTA	6.3	0
4	RNF4	4.6	3.1
5	SMAD2	4.5	1.8
6	TP53	4.4	1.1
7	ASCL1	3.9	0
8	MSX2	3.8	2.9
9	MTA1	3.8	1.7
10	SHOX2	3.6	1.6
11	NXPE4	3.6	0.3
12	TAF6	3.5	4
13	HHEX	3.4	1.1
14	TFDP1	3.3	3.4
15	SIX2	3.3	0
16	MYBL2	3.3	2.9
17	NR6A1	3.2	1.7
18	TCF19	3.2	1.7
19	PAX4	3.2	0.7
20	NANOGP8	3.1	1.4
21	PLAGL2	3	1.5
22	CREM	2.9	0.3
23	ELF1	2.8	1.8
24	BATF	2.7	0.6
25	GTF2IRD1	2.5	7.2
26	ATF4	2.4	0.3
27	CD200R1	2.3	2.4
28	HMGB2	2.3	1.7
29	CXCL10	2.3	0.2
30	AFF4	2.2	2
31	ATF2	2.2	1.2
32	PPARA	2.2	2.2
33	KITLG	2.1	1.6
34	NFYC	2	0
35	SPP1	2	1.4
36	CMTM3	1.9	2.6
37	TRIM28	1.9	2.2
38	ZSCAN26	1.6	2
39	VENTX	1.5	2.8
40	AHR	1.3	2
41	IFNA16	1.3	2.1
42	IL18	1.2	2.2
43	IFNA2	1.1	2.8
44	HLF	0.6	2.9
45	SOX6	0.5	3.3
46	MAX	0.5	2.2
47	IL10	0.3	2.3
48	MEF2D	0.2	2
