AATF BMP8A CEBPE CTNNB1 ESR2 GDF3 HOXA5 IL17D
ADIPOQ BRPF1 CEBPG CUX1 ESRRA GDF6 HOXA6 IL17F
ADNP BRPF3 CERS1 CX3CL1 ETS1 GIN1 HOXA7 IL18
AEBP1 BUD31 CERS2 CXCL10 ETS2 GLIS3 HOXB1 IL19
AFF4 C17ORF77 CERS4 CXCL11 ETV3 GMEB1 HOXB13 IL1A
AHR C1QTNF4 CFL2 CXCL12 ETV7 GPBP1 HOXB5 IL1B
AIMP1 C21ORF66 CHIA CXCL13 FAM3B GPER HOXB6 IL1F3
ALS2CR8 CBFA2T2 CIR1 CXCL14 FAM3D GPI HOXB7 IL1F5
ALX1 CBFA2T3 CITED1 CXCL16 FASLG GREM1 HOXB9 IL1F6
ARGFX CBFB CITED2 CXCL3 FBLN1 GREM2 HOXC4 IL1F7
ARID3A CBL CKLF CXCL5 FEV GRN HOXC5 IL1F8
ARNT CBX5 CLCF1 CXCL6 FL1 GTF2H2 HOXC6 IL2
ARNT2 CBX6 CMTM1 CXCL9 FLI1 GTF2H2C HOXC8 IL20
ASCL1 CBX7 CMTM2 DBT FLT3LG GTF2H3 HOXD1 IL22
ASCL2 CBX8 CMTM3 DLX1 FOS GTF2H4 HOXD10 IL23A
ASXL1 CCDC104 CMTM4 DLX3 FOSB GTF2I HOXD3 IL24
ATAD3B CCDC69 CMTM5 DLX4 FOSL1 GTF2IRD1 HOXD4 IL25
ATF2 CCL1 CMTM6 DLX6 FOSL2 HAT1 HOXD8 IL26
ATF4 CCL11 CMTM7 DMBX1 FOXA1 HBM HOXP IL27
ATF5 CCL13 CMTM8 DMRT1 FOXA2 HCFC1 HSAL2 IL28B
ATF6 CCL14 CNBP DPPA4 FOXA3 HDAC1 HSF1 IL31
ATF6B CCL15 CNOT7 DRAP1 FOXD4 HDAC3 HSFY2 IL32
ATF7 CCL17 CNTF DRGX FOXD4L6 HDAC4 ID1 IL33
ATOH1 CCL18 CNTNAP3 E2F2 FOXJ1 HDAC7 IFNA10 IL34
AURKA CCL2 COBLL1 E2F3 FOXJ2 HDAC8 IFNA13 IL36G
AURKB CCL21 CPA3 E2F6 FOXL1 HES1 IFNA14 IL4
AURKC CCL22 CPB2 E2F7 FOXL2 HES6 IFNA16 IL6
BARX1 CCL23 CREB1 E2F8 FOXM1 HESX1 IFNA17 IL7
BATF CCL24 CREB3 E4F1 FOXN3 HEYL IFNA2 IL8
BATF2 CCL25 CREB3L2 EBF1 FOXO3 HHEX IFNA21 IL9
BATF3 CCL26 CREB3L4 EBI3 FOXP1 HIF3A IFNA4 ILF10
BCL6 CCL27 CREB5 EDF1 FOXP3 HINFP IFNA5 ING2
BLZF1 CCL28 CREBL2 EDN1 FOXP4 HIRA IFNA6 ING3
BMP1 CCL3 CREBRF EGR2 FUBP1 HLF IFNA7 INHA
BMP10 CCL3L3 CREM EHF GABPA HLX IFNA8 INHBB
BMP2 CCL4 CRHR2 ELF1 GABPB1 HLX1 IFNE IRF1
BMP3 CCL4L1 CRLF1 ELF2 GAS7 HMG20B IFNG IRF2
BMP5 CCL5 CRX ELF4 GATA1 HMGA1 IFNW1 IRF3
BMP8A CCL7 CSDA ELF5 GATA2 HMGB IKZF1 IRF4
BRPF1 CCL8 CSF1 ELK1 GATA3 HMGB1 IKZF3 IRF5
BRPF3 CD2 CSF2 ELK3 GATA5 HMGB2 IL10 IRF6
BUD31 CD200R1 CSF3 ELK4 GATAD1 HNF1A IL11 IRF8
C17ORF77 CD40LG CSRNP3 EMB GATAD2A HNF1B IL12B IRF9
C1QTNF4 CD99P1 CSRP2BP END1 GATAD2B HNF4A IL13 IRX2
C21ORF66 CDYL CTBP1 ERF GBX2 HNRNPAB IL15 IRX3
CBFA2T2 CDYL2 CTBP2 ERG GDF10 HOPX IL16 IRX6
CBFA2T3 CEBPB CTCF ESAM GDF15 HOXA1 IL17A ISL1
BMP8A CEBPD CTF1 ESR1 GDF2 HOXA11 IL17C ISL2
JDP2 MIF NR1D2 POU4F3 SIX5 TCEAL1 TSC22D4 ZNF189
JUN MITA3 NR1H3 POU6F1 SLC30A9 TCF12 TSLP ZNF19
JUNB MITF NR1H3 PPARA SLURP1 TCF19 TULP4 ZNF192
KAT5 MLX NR1I2 PPARG SMAD1 TCF25 TWIST2 ZNF207
KAT7 MLXIPL NR1I3 PPBP SMAD2 TCF7 UBP1 ZNF207
KAY7 MMP14 NR2C2 PRDM1 SMAD3 TCF7L2 UNC50 ZNF213
KCNIP2 MPLKIP NR2E1 PRMT5 SMAD4 TEAD2 USF1 ZNF215
KCNMB3 MPO NR2E3 PRMT6 SMAD6 TEAD3 USF2 ZNF232
KDM1 MSC NR2F1 PROP1 SNAI2 TEAD4 USP16 ZNF24
KDM1A MSL3 NR2F2 PRRX1 SNAPC2 TEF USP21 ZNF256
KITLG MSTN NR3C1 PRRX2 SNAPC5 TFAP2C VAX1 ZNF263
KLF1 MSX2 NR4A1 PTGER3 SOX10 TFAP2E VAX2 ZNF268
KLF10 MTA1 NR4A2 PTH SOX13 TFCP2 VDR ZNF274
KLF11 MTA2 NR5A1 PTTG1 SOX2 TFCP2L1 VEGFA ZNF277
KLF12 MXD1 NR5A2 RARB SOX5 TFDP1 VENTX ZNF281
KLF3 MYB NR6A1 RARG SOX6 TFDP2 VSX2 ZNF287
KLF4 MYBL2 NRDB2 RAX2 SOX7 TFE3 WNT1 ZNF34
L3MBTL1 MYC NRG1 RBCK SOX8 TFEB WNT2 ZNF354A
L3MBTL4 MYCL NXPE4 RBPJ SOX9 TFEC WNT5A ZNF37A
LAMTOR5 MYCN OLIG2 RBPJL SP140 TGFB2 WT1 ZNF394
LASS6 MYF6 OSM RCAN1 SPDEF TGIF1 XBP1 ZNF396
LBX2 MYOG OTP RELA SPI1 TGIF2 XCL1 ZNF397
LCOR MYT1 OTX1 RELB SPIB TGIF2LX XCL2 ZNF41
LEF1 MZF1 OTX2 RENIN SPINK13 THAPB YBX1 ZNF444
LEFTY1 NAMPT PA2G4 RFX3 SPP1 THRA YEATS4 ZNF446
LEFTY2 NANOGP8 PARS2 RFX5 SREBF1 THRB YY1 ZNF449
LHX2 NDOR1 PAX4 RFXANK SRF TLE4 ZBTB18 ZNF483
LHX4 NDP PAX5 RFXAP SRY TLX2 ZBTB25 ZNF496
LHX6 NEK6 PAX6 RHOXF1 STAT1 TLX3 ZBTB48 ZNF639
LHX9 NEUROD1 PAX8 RHOXF2 STAT3 TMEM8C ZEB2 ZNF69
