GeneSymbol	cTnTZ.score	aMHCZ.score
1	HOXC4	-4.2	-5.6
2	OLIG2	-4.1	-5.4
3	JUN	-4	-4.1
4	LHX4	-3.8	-3.3
5	HOXD4	-3.6	-4
6	TLE4	-3.5	-4.3
7	POU2F1	-3.4	-4.9
8	HOXB9	-3.3	-3.7
9	DLX3	-3.2	-4
10	FOXA3	-3.1	-4.3
11	FOSL1	-3	0.4
12	SRF	-3	-1.5
13	PHOX2A	-3	-2.6
14	ZFP36L1	-3	-1.2
15	SOX10	-2.9	-2.8
16	HOXD10	-2.9	-4.2
17	LHX9	-2.8	-3.4
18	DBT	-2.8	-5
19	NR3C1	-2	-0.6
20	CTF1	-2	-1.8
21	TFEB	-2	-1
22	PITX2	-2	-2.7
23	SOX7	-2	-2.4
24	HNF1B	-1.9	-2.2
25	SNAI2	-1.9	-3.7
26	FASLG	-1.9	-4.6
27	HOXA6	-1.9	-2.2
28	OTX1	-1.8	-4.3
29	FAM3B	-1.8	-2.2
30	NKX2-5	-1.8	-2.8
31	ESR1	-1.8	-5
32	HOXB6	-1.7	-2.3
33	DLX4	-1.7	-3.9
34	TBX2	-1.7	-2.8
35	HOXC6	-1.6	-2.9
36	NR4A2	-1.6	-5.3
37	RHOXF1	-1.6	-3.9
38	TFCP2L1	-1.6	-3.3
39	HOXC5	-1.6	-2.7
40	DLX6	-1.5	-2.5
41	MEOX1	-1.5	-3.6
42	CX3CL1	-1.5	-2.5
43	IL11	-1.5	-2.2
44	HOXA11	-1.5	-2.3
45	HOXD8	-1.5	-2.5
46	SPIB	-1.5	-2.5
47	ETS1	-1.4	-4.2
48	TEAD3	-1.4	-2.6
49	HOXB5	-1.4	-2
50	DMRT1	-1.4	-2.4
51	HNF1A	-1.4	-2.3
52	TNFSF4	-1.4	-2.2
53	RORB	-1.4	-2.2
54	ZIC3	-1.4	-2.6
55	IL26	-1.4	-3.1
56	CSRNP3	-1.4	-2.9
57	TARDBP	-1.4	-2.5
58	ELF4	-1.3	-2.1
59	HOXB13	-1.3	-2.3
60	CEBPB	-1.3	-2.1
61	NR2E1	-1.3	-4.1
62	SMAD3	-1.3	-2.1
63	ALX1	-1.3	-3.2
64	NFIC	-1.3	-2
65	FOXA1	-1.3	-2.1
66	NFE2	-2.8	-2.1
67	ZNF397	-2.7	-3.9
68	USF2	-2.7	-4.8
69	HNF4A	-2.7	-4.5
70	NR5A1	-2.6	-4.7
71	IL2	-2.6	-3.7
72	FUBP1	-2.5	-2.9
73	IRF4	-2.5	-3.1
74	CEBPE	-2.3	-3.1
75	NR4A1	-2.3	-3.8
76	AIMP1	-2.2	-2.7
77	PAX6	-2.2	-3.2
78	TLX3	-2.2	-2.4
79	SPDEF	-2.1	-2.6
80	FOS	-2.1	0.3
81	SOX9	-2.1	-2
82	TGIF2	-2.1	-3.6
83	ZHX2	-2.1	-1.7
84	IKZF3	-1.3	-2.1
85	E4F1	-1.2	-2.3
86	FL1	-1.2	-2.1
87	ERG	-1.2	-2.1
88	HOXD3	-1.2	-2.2
89	IL1A	-1.2	-2.2
90	PITX1	-1.2	-2.7
91	NEUROD1	-1.1	-2.2
92	ZBTB48	-1.1	-2.5
93	TFAP2E	-1.1	-2.2
94	OTP	-1.1	-3.8
95	SOX8	-1.1	-2.8
96	MECP2	-1.1	-3.9
97	CREB5	-1.1	-2
98	FOXA2	-1	-3.8
99	PBX2	-1	-3.4
100	DLX1	-1	-3.8
101	NKX2-1	-1	-3.9
102	PAX5	-1	-2.1
103	FOXL2	-0.9	-2.3
104	POU3F2	-0.9	-3.1
105	TBX3	-0.9	-3.6
106	FEV	-0.9	-2.9
107	MBD1	-0.9	-3.3
108	TGIF1	-0.8	-2.6
109	ZNF639	-0.8	-2.2
110	PRDM1	-0.8	-3.8
111	POU4F3	-0.8	-2
112	EGR2	-0.7	-5.3
113	KLF3	-0.7	-2.6
114	FAM3D	-0.6	-2.7
115	MIF	-0.6	-2.6
116	ARGFX	-0.4	-3.5
117	CMTM2	-0.4	-2.4
118	PRRX2	0	-2.1
119	BMP2	0.5	-3.2
120	CXCL13	0.6	-2
121	ATOH1	1.2	-2.2
122	PTGER3	1.2	-2.3
123	GDF2	1.3	-3
124	PPARG	1.6	-4.4
125	CXCL5	2.5	-3.8
126	NR0B2	2.8	-2.2
127	CRX	7.5	-3.6
128	NR2F1	9.4	-2.8
129	OTX2	9.5	-2.3
